name: fa442529-c673-4e8a-acec-12e691134bd0 num_items: 4
token, class_id, token_value, token_tf, token_df
просить, text, 0.022727273404598236, 1.0, 1.0
свою, text, 0.04545454680919647, 2.0, 1.0
Господа, text, 0.022727273404598236, 1.0, 1.0
тобой, text, 0.022727273404598236, 1.0, 1.0
скажу, text, 0.04545454680919647, 2.0, 1.0
Я, text, 0.04545454680919647, 2.0, 1.0
мы, text, 0.022727273404598236, 1.0, 1.0
скоро, text, 0.022727273404598236, 1.0, 1.0
российских, text, 0.022727273404598236, 1.0, 1.0
для, text, 0.022727273404598236, 1.0, 1.0
с, text, 0.022727273404598236, 1.0, 1.0
сделал, text, 0.022727273404598236, 1.0, 1.0
страны, text, 0.022727273404598236, 1.0, 1.0
заявление, text, 0.022727273404598236, 1.0, 1.0
будем, text, 0.022727273404598236, 1.0, 1.0
зоне, text, 0.022727273404598236, 1.0, 1.0
вам, text, 0.04545454680919647, 2.0, 1.0
Белоруссии, text, 0.022727273404598236, 1.0, 1.0
в, text, 0.022727273404598236, 1.0, 1.0
позицию, text, 0.04545454680919647, 2.0, 1.0
на, text, 0.04545454680919647, 2.0, 2.0
моральным, text, 0.022727273404598236, 1.0, 1.0
действующих, text, 0.022727273404598236, 1.0, 1.0
он, text, 0.022727273404598236, 1.0, 1.0
журналистов, text, 0.022727273404598236, 1.0, 1.0
недовольство, text, 0.022727273404598236, 1.0, 1.0
военных,, text, 0.022727273404598236, 1.0, 1.0
Соответствующее, text, 0.022727273404598236, 1.0, 1.0
украинских, text, 0.022727273404598236, 1.0, 1.0
юго-востоке, text, 0.022727273404598236, 1.0, 1.0
обликом, text, 0.022727273404598236, 1.0, 1.0
пресс-конференции, text, 0.022727273404598236, 1.0, 1.0
Александр, text, 0.022727273404598236, 1.0, 1.0
резкое, text, 0.022727273404598236, 1.0, 1.0
Лукашенко, text, 0.022727273404598236, 1.0, 1.0
конфликта, text, 0.022727273404598236, 1.0, 1.0
выразил, text, 0.022727273404598236, 1.0, 1.0
Президент, text, 0.022727273404598236, 1.0, 1.0
