city|description
Ааза́з| Сирия
А́арау| Швейцария, см. А́рау
А́аргау| кантон, Швейцария, см. А́ргау, кантон
А́аре| р., Швейцария, см. А́ре, р.
А́ба| Венгрия, медье Фейер
Аба́| Китай, см. Нгава́ (Аба́)
Аба́| Нигерия
Абада́н| Иран, остан Хузестан
Абаде́| Иран, остан Фарс
Аба́дла| Алжир, вилайет Бешар
А́бадсалок| Венгрия, медье Сольнок
Аба́ианг| ат., Тихий океан, о-ва Гилберта; Кирибати
Абани́лья| Испания, пров. Мурсия
Абанка́й| Перу, адм. центр деп. Апуримак
Абарири́нга| ат., Кирибати, см. Ка́нтон (Абарири́нга), ат.
Аба́сири| Япония, окр. Абасири, о. Хоккайдо
Аба́сири| зал., Охотское море, сев.-вост. побережье о. Хоккайдо; Япония
Аба́сири| окр., Япония, о. Хоккайдо
Абауйса́нто| Венгрия, медье Боршод-Абауй-Земплен
Аба́-эль-Кур| сух. русло, Саудовская Аравия и Ирак
Аба́я| оз., Эфиопия, провинции Гамо-Гофа и Сидамо
Абба́й| р. (на тер. Судана — Голубо́й Нил), прав. приток р. Нил; Эфиопия
Аббасаба́д| Иран, остан Мазендеран
Аббе́| оз., на границе Джибути и Эфиопии
Аббиатегра́ссо| Италия, обл. Ломбардия
Аббифи́л| Ирландия, граф. Лимерик
Абботаба́д| Пакистан, см. Абботтаба́д
Абботтаба́д| Пакистан, Северо-Западная Пограничная пров.
Абви́ль| Франция, деп. Сомма
Абво́нг| Судан
Абд-эль-Ку́ри| о., Индийский океан, у сев.-вост. побережья Африки; НДРЙ
А́белёйа| о., Северный Ледовитый океан, о-ва Земля Короля Карла; Норвегия
Абенгу́ру| Кот-д’Ивуар
Абео́кута| Нигерия, адм. центр шт. Огун
Абера́йрон| Великобритания, Уэльс, граф. Дивед
Аберда́рон| Великобритания, Уэльс, граф. Гуинет
Аберди́н| Великобритания, Шотландия, адм. центр обл. Грампиан
Аберди́н| США, шт. Вашингтон
Аберди́н| США, шт. Южная Дакота
Аберди́н| ЮАР, Капская пров.
Аберди́н| оз., Канада, Северо-Западные территории
Абердэ́р| Великобритания, Уэльс, граф. Мид-Гламорган
Абере́йрон| Великобритания, см. Абера́йрон
Абери́стуит| Великобритания, Уэльс, граф. Дивед
А́беркорн| Замбия, см. Мба́ла
Аберфе́лди| Великобритания, Шотландия, обл. Тейсайд
А́бе-Сирва́н| р., Иран и Ирак, см. Дия́ла, р.
Абеше́| Чад
Абиджа́н| Кот-д’Ивуар
А́би-Истада́| оз., Афганистан, см. А́би-Истада́йи-Газни́, оз.
А́би-Истада́йи-Газни́| оз., Афганистан, пров. Газни
А́би-Кайса́р| р., Афганистан, см. Кайса́р, р.
А́билин| США, шт. Техас
А́бингдон| Великобритания, Англия, граф. Оксфордшир
А́биску| Швеция, лен Норрботтен
Абити́би| оз., Канада, пров. Онтарио
Абити́би| р., прав. приток р. Мус; Канада
Абка́йк| Саудовская Аравия, см. Абка́йк (Бука́йк)
Абка́йк (Бука́йк)| Саудовская Аравия
А́бо| Финляндия, см. Ту́рку
Абои́со| Кот-д’Ивуар
Абоме́й| Бенин
А́бонг-Мбанг| Камерун
А́бонь| Венгрия, медье Пешт
Або́со| Гана
Абра́нтиш| Португалия, пров. Рибатежу
Абру́д| Румыния, уезд Алба
Абру́цци| обл., Италия
Абру́цци-э-Моли́зе| обл., Италия, см. Абру́цци, обл. и Моли́зе, обл.
Абру́ццкие Апенни́ны| горы, Италия
Абру́ццы| горы, Италия, см. Абру́ццкие Апенни́ны, горы
А́бу-Али́| о., Персидский зал. Индийского океана; Саудовская Аравия
А́бу-Да́ам| Сирия
А́бу-Да́би| столица ОАЭ
А́бу-Да́би| эмират, ОАЭ
А́бу-Де́иа| Чад
А́бу-Заба́д| Судан
А́бу-За́би| нп и эмират, Договорный Оман, см. А́бу-Да́би, нп и эмират, ОАЭ
А́бу-Кеби́р| Египет
А́бу-Кема́ль| Сирия
А́бу-Кир| Египет
А́бу-Кир| зал., Средиземное море; Египет
Абу́кума| горы, о. Хонсю; Япония
Абу́кума| р., впадает в Тихий океан, о. Хонсю; Япония
А́бу-Минка́р| к., Египет
Абумомба́зи| Заир
Абу́-Муса́| о., Персидский зал. Индийского океана; Иран
Абуна́| р. (на тер. Бразилии — Абуна́н), лев. приток р. Мадейра; на границе Боливии и Бразилии
Абуна́н| Бразилия, шт. Рондония
Абуна́н| р. (на тер. Боливии — Абуна́), лев. приток р. Мадейра; на границе Бразилии и Боливии
А́бу-Суве́йр| Египет
А́бу-Хадри́я| Саудовская Аравия
А́бу-Ха́мед| Судан
А́бу-эль-А́бьяд| о., ОАЭ, см. А́бу-эль-А́бьяд (Мука́йшит), о.
А́бу-эль-А́бьяд (Мука́йшит)| о., Персидский зал. Индийского океана; ОАЭ
Абха́| Саудовская Аравия, адм. центр пров. Асир
А́ва| о., Японское море, у сев.-зап. побережья о. Хонсю; Япония
Ава́дзи| Япония, преф. Хиого, о. Авадзи
Ава́дзи| о., Внутреннее Японское море; Япония
Ава́й-Лимузи́н| Франция, деп. Вьенна
Авалло́н| Франция, деп. Йонна
А́валон| п-ов, юго-вост. побережье о. Ньюфаундленд; Канада
Авано́с| Турция, иль Невшихир
А́варе| Эфиопия, см. Ауаре́
Авару́а| адм. центр о-вов Кука, о. Раратонга
А́вас| Греция, ном Эврос
А́вас| горы, Намибия
Ава́са| Эфиопия, см. Ауа́са
Ава́со| Гана
Ава́т| Китай, Синьцзян-Уйгурский авт. р-н
Ава́ш| Эфиопия, пров. Шоа
Ава́ш| р., впадает в оз. Аббе; Эфиопия
Авго́| о., Греция, см. Авгони́си, о.
Авгони́си| о., Эгейское море, о-ва Южные Спорады; Греция
А́вгустина| о., США, см. О́гастин, о.
Авгу́стов| Польша, Сувальское воев.
