full_name,frequency
владимир путин,1294
дональд трамп,1138
дмитрий песок,257
криштиан роналда,230
андрей воробьев,203
дмитрий медведев,199
мегана марклый,195
чен ын,172
пётр порошенко,169
чен ына,138
аркадия бабченко,129
рамзан кадыров,126
александр головин,125
сергей скрипалить,111
тасс,104
вашингтон,103
олег дерипаск,100
ким кардашьян,98
евгений медведев,89
гарри,87
минфин,86
путин,81
ангел меркель,80
эммануэль макрон,78
петра порошенко,78
речь,77
тереза мэй,76
олег сенцов,76
никола пашинянин,70
лионель месси,67
башар асад,67
павел дуров,66
александр овечкин,66
борис герман,63
антон силуановый,62
чен ыном,61
станислав черчёс,60
мужчина,60
мундиаля,60
надежда савченко,60
дмитрия медведев,59
алексей кудрин,58
сергей лавров,57
серж саргсян,54
артём дзюба,54
харви вайнштейн,54
станислав черчесова,52
демьян кудрявцев,52
роскомнадзор,51
александр лукашенко,48
диего марадон,48
канье уэст,48
сергей скрипаль,46
серить уильямс,46
майк помпео,45
юлий,45
трамп,44
блогер,44
барак обама,43
португалец,43
мария шарапов,43
мессенджер,42
лионеля месси,42
максим топилина,41
владимир,41
джон болтон,41
юлий самойлов,41
парламентарий,40
илона маск,40
владимир жириновский,38
игорь акинфей,38
си цзиньпин,38
сергей собянин,37
роберто манчинить,37
борис джонсон,37
этери тутберидзе,36
виталий мутко,36
мария захаров,36
юрий луценко,36
чарли роуля,36
кайлить дженнер,34
сергей игнаш,34
николай,34
юлия,34
злоумышленник,33
герцогиня сассекский,33
денис черышева,33
татьяна голиков,33
кейт миддлтон,33
серхио рамос,32
чжэ ин,32
алексей навальный,32
хорх сампаоля,31
дмитрий марков,31
мария бутин,31
мохаммед сало,31
роберт мюллер,31
елизавета,31
василий уткин,30
неймара,30
арсен авак,30
лента ру,29
татьяна москальков,29
григорий родченков,29
сергей шнур,29
болельщик,29
дон стерджесс,29
стэнли,29
вячеслав володин,29
задержать,28
актёр,28
владимир познер,28
зинединый зидать,28
госсекретарь,28
сергей шойгу,28
кирилл вышинский,27
александр новак,27
йенс столтенберг,27
юрий дудь,27
нападать,27
госкорпорация,27
герман греф,27
виктор вексельберг,27
игорь сечин,26
тайип эрдогать,26
биньямин нетаньяха,26
александр дрымановый,26
михаил саакашвили,26
игорь акинфеев,26
тета,26
людмила денисов,26
максим орешкин,25
россиянин,25
аркадий бабченко,25
юрий дмитриев,25
мевлютый чавушогла,25
джастин трюдо,25
