name: 6435f8b7-b594-4343-8b7f-449f2ae9a13f num_items: 1427
token, class_id, token_value, token_tf, token_df
овцебык, @default_class, 0.00011690057726809755, 18.0, 8.0
номинал, @default_class, 7.79337206040509e-05, 12.0, 7.0
аргиш, @default_class, 7.143924449337646e-05, 11.0, 5.0
активный, @default_class, 0.0002532845828682184, 39.0, 38.0
перевезти, @default_class, 7.143924449337646e-05, 11.0, 10.0
сто, @default_class, 7.143924449337646e-05, 11.0, 11.0
поликлиника, @default_class, 9.741714893607423e-05, 15.0, 9.0
канадский, @default_class, 0.00011040610115742311, 17.0, 14.0
жертва, @default_class, 7.143924449337646e-05, 11.0, 10.0
прежде, @default_class, 0.00011040610115742311, 17.0, 15.0
перелёт, @default_class, 0.00011040610115742311, 17.0, 15.0
пао, @default_class, 6.494476110674441e-05, 10.0, 3.0
инфекция, @default_class, 7.79337206040509e-05, 12.0, 8.0
отдел, @default_class, 0.00018184534565079957, 28.0, 26.0
образ, @default_class, 0.0007663482101634145, 118.0, 110.0
валерий, @default_class, 0.00020782325009349734, 32.0, 29.0
кадр, @default_class, 7.143924449337646e-05, 11.0, 10.0
наметить, @default_class, 7.143924449337646e-05, 11.0, 11.0
финский, @default_class, 7.143924449337646e-05, 11.0, 10.0
рекультивация, @default_class, 7.143924449337646e-05, 11.0, 10.0
тонуть, @default_class, 7.143924449337646e-05, 11.0, 6.0
рекорд, @default_class, 0.0002662735350895673, 41.0, 28.0
состязание, @default_class, 0.00012988952221348882, 20.0, 16.0
вицепрезидент, @default_class, 0.0002532845828682184, 39.0, 32.0
заказ, @default_class, 7.143924449337646e-05, 11.0, 10.0
машина, @default_class, 0.00030524039175361395, 47.0, 32.0
форма, @default_class, 0.00022081220231484622, 34.0, 29.0
речной, @default_class, 7.143924449337646e-05, 11.0, 11.0
предполагаться, @default_class, 0.0003377127868589014, 52.0, 50.0
уренгой, @default_class, 0.00021431772620417178, 33.0, 27.0
обновление, @default_class, 0.0001558674412081018, 24.0, 21.0
авиационный, @default_class, 0.00010391162504674867, 16.0, 15.0
государственный, @default_class, 0.0009416990797035396, 145.0, 119.0
проведение, @default_class, 0.0007923261146061122, 122.0, 102.0
