name: 36e50f51-e206-49fe-b436-0f90207209d4 num_items: 127564
token, class_id, token_value, token_tf, token_df
комиссовский, @default_class, 6.910123033776472e-07, 11.0, 3.0
псебай, @default_class, 7.538316140198731e-07, 12.0, 6.0
кемга, @default_class, 6.281930495788401e-07, 10.0, 5.0
федюр, @default_class, 1.6961212168098427e-06, 27.0, 8.0
колион, @default_class, 6.910123033776472e-07, 11.0, 2.0
сибприбормаш, @default_class, 8.794702353043249e-07, 14.0, 6.0
шурпай, @default_class, 7.538316140198731e-07, 12.0, 7.0
нахров, @default_class, 7.538316140198731e-07, 12.0, 7.0
качаловский, @default_class, 6.281930495788401e-07, 10.0, 5.0
гагаркина, @default_class, 6.281930495788401e-07, 10.0, 5.0
менделевич, @default_class, 7.538316140198731e-07, 12.0, 6.0
мибанк, @default_class, 6.281930495788401e-07, 10.0, 3.0
чмиля, @default_class, 6.281930495788401e-07, 10.0, 3.0
назарзод, @default_class, 7.538316140198731e-07, 12.0, 3.0
case, @default_class, 6.281930495788401e-07, 10.0, 7.0
усец, @default_class, 6.910123033776472e-07, 11.0, 3.0
сейбиль, @default_class, 6.281930495788401e-07, 10.0, 3.0
нисифор, @default_class, 1.0051088565887767e-06, 16.0, 5.0
жицкий, @default_class, 3.4550616874184925e-06, 55.0, 8.0
арабелла, @default_class, 1.0051088565887767e-06, 16.0, 9.0
бабакехян, @default_class, 7.538316140198731e-07, 12.0, 3.0
нииуиф, @default_class, 1.2563860991576803e-06, 20.0, 17.0
помещенко, @default_class, 8.794702353043249e-07, 14.0, 4.0
shake, @default_class, 8.16650924662099e-07, 13.0, 4.0
асуханов, @default_class, 6.910123033776472e-07, 11.0, 1.0
мибанка, @default_class, 6.910123033776472e-07, 11.0, 3.0
фунина, @default_class, 6.281930495788401e-07, 10.0, 3.0
ханмагомед, @default_class, 6.910123033776472e-07, 11.0, 4.0
цианид, @default_class, 7.538316140198731e-07, 12.0, 4.0
мандрик, @default_class, 1.1307474778732285e-06, 18.0, 5.0
