name: 5345f413-50ca-41d3-bcea-6428b9c8b80d num_items: 31361
token, class_id, token_value, token_tf, token_df
дадли, @default_class, 3.675212155940244e-06, 15.0, 2.0
газилалиев, @default_class, 3.920226390619064e-06, 16.0, 5.0
сопчук, @default_class, 3.920226390619064e-06, 16.0, 3.0
дьяков, @default_class, 3.18518391395628e-06, 13.0, 5.0
трестан, @default_class, 6.37036782791256e-06, 26.0, 25.0
нтфарма, @default_class, 2.6951556719723158e-06, 11.0, 8.0
кошурников, @default_class, 4.1652406252978835e-06, 17.0, 7.0
тдм, @default_class, 2.94016967927746e-06, 12.0, 4.0
затравкин, @default_class, 2.94016967927746e-06, 12.0, 2.0
эрматовый, @default_class, 2.94016967927746e-06, 12.0, 3.0
смыслово, @default_class, 2.450141437293496e-06, 10.0, 8.0
сердечно, @default_class, 2.94016967927746e-06, 12.0, 12.0
акбаржон, @default_class, 4.900282874586992e-06, 20.0, 19.0
барганджий, @default_class, 2.450141437293496e-06, 10.0, 5.0
старуновый, @default_class, 5.3903113439446315e-06, 22.0, 1.0
артюхин, @default_class, 2.450141437293496e-06, 10.0, 3.0
панарин, @default_class, 5.145297109265812e-06, 21.0, 5.0
зубакин, @default_class, 2.450141437293496e-06, 10.0, 2.0
якимишный, @default_class, 2.450141437293496e-06, 10.0, 1.0
бандорин, @default_class, 3.4301981486350996e-06, 14.0, 3.0
белобрагин, @default_class, 3.4301981486350996e-06, 14.0, 4.0
пичко, @default_class, 2.94016967927746e-06, 12.0, 10.0
киндзерский, @default_class, 3.18518391395628e-06, 13.0, 10.0
контрейл, @default_class, 3.18518391395628e-06, 13.0, 10.0
flydubai, @default_class, 2.6951556719723158e-06, 11.0, 6.0
изборск, @default_class, 2.450141437293496e-06, 10.0, 10.0
рыбокомбинат, @default_class, 6.12535359323374e-06, 25.0, 7.0
новоселицкий, @default_class, 4.900282874586992e-06, 20.0, 11.0
носик, @default_class, 2.6951556719723158e-06, 11.0, 4.0
турлаева, @default_class, 3.18518391395628e-06, 13.0, 7.0
пчелиный, @default_class, 3.18518391395628e-06, 13.0, 2.0
pwc, @default_class, 5.145297109265812e-06, 21.0, 6.0
черевко, @default_class, 2.450141437293496e-06, 10.0, 8.0
мотькина, @default_class, 4.655268639908172e-06, 19.0, 4.0
миронос, @default_class, 2.450141437293496e-06, 10.0, 2.0
балатхан, @default_class, 2.94016967927746e-06, 12.0, 4.0
козара, @default_class, 2.94016967927746e-06, 12.0, 7.0
вологдаэнергосбыт, @default_class, 2.450141437293496e-06, 10.0, 2.0
седой, @default_class, 2.6951556719723158e-06, 11.0, 10.0
вуокил, @default_class, 2.6951556719723158e-06, 11.0, 2.0
хорошилов, @default_class, 3.675212155940244e-06, 15.0, 2.0
опушка, @default_class, 2.450141437293496e-06, 10.0, 9.0
зернобанк, @default_class, 2.94016967927746e-06, 12.0, 9.0
гардановый, @default_class, 2.94016967927746e-06, 12.0, 5.0
чеишвили, @default_class, 2.450141437293496e-06, 10.0, 3.0
карамянц, @default_class, 2.450141437293496e-06, 10.0, 1.0
милашина, @default_class, 2.94016967927746e-06, 12.0, 1.0
ковязин, @default_class, 2.94016967927746e-06, 12.0, 2.0
балазовский, @default_class, 2.6951556719723158e-06, 11.0, 1.0
