name: f01d5fe7-5719-48b2-afa5-573211ac80f3 num_items: 13374
token, class_id, token_value, token_tf, token_df
роднянский, @default_class, 4.7140215428953525e-06, 10.0, 3.0
кожа, @default_class, 7.071032086969353e-06, 15.0, 13.0
раствор, @default_class, 5.1854235607606824e-06, 11.0, 8.0
завозить, @default_class, 5.1854235607606824e-06, 11.0, 9.0
sport, @default_class, 1.4613467101298738e-05, 31.0, 18.0
рональд, @default_class, 4.7140215428953525e-06, 10.0, 6.0
среднемагистральный, @default_class, 3.629796628956683e-05, 77.0, 65.0
аэс, @default_class, 0.0002366438857279718, 502.0, 178.0
бизнесмодеть, @default_class, 7.542434559582034e-06, 16.0, 13.0
презерватив, @default_class, 1.5556270227534696e-05, 33.0, 11.0
юрий_трутнеть, @default_class, 2.8755532184732147e-05, 61.0, 58.0
укрнафт, @default_class, 3.676936830743216e-05, 78.0, 19.0
воспроизводство, @default_class, 4.7140215428953525e-06, 10.0, 8.0
line, @default_class, 1.0370847121521365e-05, 22.0, 15.0
перепродажа, @default_class, 1.2727858120342717e-05, 27.0, 25.0
аижк, @default_class, 1.0842249139386695e-05, 23.0, 12.0
пик, @default_class, 6.505350029328838e-05, 138.0, 73.0
спасти, @default_class, 3.111254045506939e-05, 66.0, 62.0
сердюк, @default_class, 2.02702922251774e-05, 43.0, 19.0
протечь, @default_class, 6.128228051238693e-06, 13.0, 6.0
югра, @default_class, 5.5154050642158836e-05, 117.0, 36.0
снижаться, @default_class, 5.845386840519495e-05, 124.0, 122.0
ижавто, @default_class, 2.7812726330012083e-05, 59.0, 32.0
уран, @default_class, 8.626659109722823e-05, 183.0, 71.0
ледовский, @default_class, 6.128228051238693e-06, 13.0, 7.0
пуск, @default_class, 2.3098706151358783e-05, 49.0, 35.0
исходить, @default_class, 0.00010323707101633772, 219.0, 210.0
приобретатель, @default_class, 5.1854235607606824e-06, 11.0, 10.0
узел, @default_class, 5.2325638534966856e-05, 111.0, 101.0
задаваться, @default_class, 6.599630069104023e-06, 14.0, 14.0
гамма, @default_class, 4.7140215428953525e-06, 10.0, 9.0
реверс, @default_class, 1.0370847121521365e-05, 22.0, 17.0
концентрация, @default_class, 3.441235821810551e-05, 73.0, 63.0
провоз, @default_class, 1.4142064173938707e-05, 30.0, 17.0
екатеринбург, @default_class, 6.222508091013879e-05, 132.0, 109.0
самосвал, @default_class, 4.7140215428953525e-06, 10.0, 9.0
армавиа, @default_class, 1.3199260138208047e-05, 28.0, 11.0
онф, @default_class, 1.0842249139386695e-05, 23.0, 7.0
поменяться, @default_class, 6.128228051238693e-06, 13.0, 13.0
январский, @default_class, 8.013837032194715e-06, 17.0, 16.0
подход, @default_class, 7.259593257913366e-05, 154.0, 129.0
казанский, @default_class, 2.02702922251774e-05, 43.0, 35.0
indian, @default_class, 6.599630069104023e-06, 14.0, 10.0
просрочка, @default_class, 3.676936830743216e-05, 78.0, 62.0
распродавать, @default_class, 9.428043085790705e-06, 20.0, 20.0
отрицательный, @default_class, 4.6197412302717566e-05, 98.0, 89.0
глубоководный, @default_class, 1.697047810012009e-05, 36.0, 32.0
лэп, @default_class, 5.1854235607606824e-06, 11.0, 9.0
советский, @default_class, 0.00011973614891758189, 254.0, 195.0
вложение, @default_class, 6.788191240048036e-05, 144.0, 130.0
кризисный, @default_class, 2.8284128347877413e-05, 60.0, 58.0
разовый, @default_class, 1.4613467101298738e-05, 31.0, 30.0
крах, @default_class, 1.1313652066746727e-05, 24.0, 23.0
нагорный, @default_class, 9.428043085790705e-06, 20.0, 10.0
кабель, @default_class, 4.7140215428953525e-06, 10.0, 9.0
расходовать, @default_class, 8.013837032194715e-06, 17.0, 15.0
внимание, @default_class, 0.00025172875029966235, 534.0, 485.0
defence, @default_class, 8.485239050060045e-06, 18.0, 13.0
существующий, @default_class, 0.00013434961147140712, 285.0, 263.0
утверждать, @default_class, 0.0004332185781095177, 919.0, 773.0
поддерживать, @default_class, 0.00013010700058657676, 276.0, 256.0
pwc, @default_class, 4.148338848608546e-05, 88.0, 28.0
интернетресурс, @default_class, 7.542434559582034e-06, 16.0, 16.0
разведка, @default_class, 0.00012209315900690854, 259.0, 209.0
форма, @default_class, 0.00012209315900690854, 259.0, 221.0
тракторный, @default_class, 1.697047810012009e-05, 36.0, 27.0
курс, @default_class, 0.00016923337534535676, 359.0, 267.0
вручение, @default_class, 1.885608617158141e-05, 40.0, 29.0
ощутимый, @default_class, 6.599630069104023e-06, 14.0, 14.0
elephant, @default_class, 7.071032086969353e-06, 15.0, 3.0
dong, @default_class, 6.128228051238693e-06, 13.0, 3.0
