name: 9c1b0d81-206a-43c2-9f9e-1fa0cbcb3393 num_items: 8420
token, class_id, token_value, token_tf, token_df
than, @default_class, 1.1478216947580222e-05, 11.0, 11.0
хан, @default_class, 1.6695588783477433e-05, 16.0, 8.0
topshop, @default_class, 5.6347609643125907e-05, 54.0, 33.0
ключевой, @default_class, 0.00014399945212062448, 138.0, 130.0
nikon, @default_class, 1.565211459819693e-05, 15.0, 6.0
студия, @default_class, 0.00011269521928625181, 108.0, 93.0
бальмен, @default_class, 1.8782537154038437e-05, 18.0, 17.0
джанни, @default_class, 3.965202267863788e-05, 38.0, 30.0
смена, @default_class, 9.391268395120278e-05, 90.0, 81.0
концентрация, @default_class, 1.565211459819693e-05, 15.0, 10.0
footwear, @default_class, 3.547812593751587e-05, 34.0, 33.0
rs, @default_class, 5.843455801368691e-05, 56.0, 28.0
lacroix, @default_class, 2.1912959709879942e-05, 21.0, 14.0
продолжить, @default_class, 7.304320024559274e-05, 70.0, 70.0
поступать, @default_class, 5.42606612725649e-05, 52.0, 52.0
заподозрить, @default_class, 1.043474276229972e-05, 10.0, 9.0
today, @default_class, 1.982601133931894e-05, 19.0, 17.0
полярный, @default_class, 1.1478216947580222e-05, 11.0, 8.0
подголовник, @default_class, 1.1478216947580222e-05, 11.0, 11.0
раскупить, @default_class, 2.713033063628245e-05, 26.0, 24.0
fendi, @default_class, 0.00013252123608253896, 127.0, 90.0
узел, @default_class, 0.00013043428771197796, 125.0, 96.0
вопрос, @default_class, 0.00016382546164095402, 157.0, 134.0
передовой, @default_class, 2.1912959709879942e-05, 21.0, 21.0
каплевидный, @default_class, 1.1478216947580222e-05, 11.0, 9.0
hello, @default_class, 2.608685645100195e-05, 25.0, 13.0
джина, @default_class, 7.617362280143425e-05, 73.0, 67.0
škoda, @default_class, 1.1478216947580222e-05, 11.0, 5.0
альфайед, @default_class, 1.6695588783477433e-05, 16.0, 6.0
посторонний, @default_class, 1.1478216947580222e-05, 11.0, 11.0
гастроль, @default_class, 1.043474276229972e-05, 10.0, 5.0
бежать, @default_class, 1.4608639503421728e-05, 14.0, 12.0
выявить, @default_class, 1.565211459819693e-05, 15.0, 14.0
москвич, @default_class, 1.2521691132860724e-05, 12.0, 11.0
england, @default_class, 1.043474276229972e-05, 10.0, 10.0
хранить, @default_class, 2.3999908080440946e-05, 23.0, 22.0
mugler, @default_class, 2.608685645100195e-05, 25.0, 14.0
немедленно, @default_class, 1.043474276229972e-05, 10.0, 10.0
хирургия, @default_class, 1.2521691132860724e-05, 12.0, 12.0
дания, @default_class, 1.8782537154038437e-05, 18.0, 18.0
вредный, @default_class, 2.8173804821562953e-05, 27.0, 24.0
дыхание, @default_class, 1.043474276229972e-05, 10.0, 9.0
скорый, @default_class, 2.9217279006843455e-05, 28.0, 28.0
dolce, @default_class, 0.0002577381383161992, 247.0, 153.0
ретейлера, @default_class, 0.00019199926464352757, 184.0, 161.0
получаться, @default_class, 1.6695588783477433e-05, 16.0, 16.0
пресли, @default_class, 2.086948552459944e-05, 20.0, 13.0
рыбий, @default_class, 1.4608639503421728e-05, 14.0, 10.0
монро, @default_class, 2.2956433895160444e-05, 22.0, 14.0
телячий, @default_class, 6.260845839278772e-05, 60.0, 54.0
любим, @default_class, 1.4608639503421728e-05, 14.0, 14.0
psa, @default_class, 1.4608639503421728e-05, 14.0, 11.0
социальный, @default_class, 0.00022330349020194262, 214.0, 197.0
интерпретировать, @default_class, 1.3565165318141226e-05, 13.0, 13.0
леса, @default_class, 2.2956433895160444e-05, 22.0, 19.0
олимпийка, @default_class, 1.565211459819693e-05, 15.0, 15.0
шер, @default_class, 1.4608639503421728e-05, 14.0, 10.0
киноактёр, @default_class, 1.565211459819693e-05, 15.0, 14.0
сантаклаус, @default_class, 2.608685645100195e-05, 25.0, 14.0
метрополис, @default_class, 1.2521691132860724e-05, 12.0, 12.0
русский, @default_class, 0.0002608685754239559, 250.0, 173.0
фигуравтоматон, @default_class, 1.1478216947580222e-05, 11.0, 11.0
цитата, @default_class, 1.7739062968757935e-05, 17.0, 16.0
примерно, @default_class, 0.00011791259021265432, 113.0, 107.0
femme, @default_class, 1.2521691132860724e-05, 12.0, 6.0
швейцария, @default_class, 0.00019408621301408857, 186.0, 167.0
азербайджан, @default_class, 1.043474276229972e-05, 10.0, 10.0
застёгиваться, @default_class, 1.2521691132860724e-05, 12.0, 12.0
день, @default_class, 0.0008692140690982342, 833.0, 700.0
