name: 8ed88331-6dec-4e3a-936f-19feb1010d56 num_items: 328
token, class_id, token_value, token_tf, token_df
роскино, @default_class, 0.00024923981982283294, 10.0, 4.0
серия, @default_class, 0.000274163787253201, 11.0, 10.0
драма, @default_class, 0.0003489357477519661, 14.0, 11.0
точка, @default_class, 0.000274163787253201, 11.0, 10.0
канал, @default_class, 0.000274163787253201, 11.0, 8.0
нелюбовь, @default_class, 0.0003489357477519661, 14.0, 7.0
субсидия, @default_class, 0.000274163787253201, 11.0, 9.0
китайский, @default_class, 0.00029908778378739953, 12.0, 7.0
немецкий, @default_class, 0.00029908778378739953, 12.0, 8.0
любой, @default_class, 0.00024923981982283294, 10.0, 9.0
кинофестиваль, @default_class, 0.0003489357477519661, 14.0, 10.0
законопроект, @default_class, 0.0005732515710406005, 23.0, 12.0
срок, @default_class, 0.00024923981982283294, 10.0, 9.0
доход, @default_class, 0.00024923981982283294, 10.0, 5.0
случай, @default_class, 0.0004486316756810993, 18.0, 16.0
внимание, @default_class, 0.0003987837117165327, 16.0, 15.0
приобрести, @default_class, 0.000274163787253201, 11.0, 10.0
процесс, @default_class, 0.0004237076791469008, 17.0, 14.0
строительство, @default_class, 0.0003240117512177676, 13.0, 10.0
алексей_учитель, @default_class, 0.0004984796396456659, 20.0, 17.0
условие, @default_class, 0.0003240117512177676, 13.0, 13.0
начать, @default_class, 0.0003240117512177676, 13.0, 12.0
театральный, @default_class, 0.0010717312106862664, 43.0, 30.0
индия, @default_class, 0.00029908778378739953, 12.0, 4.0
борис, @default_class, 0.000548327574506402, 22.0, 19.0
единый, @default_class, 0.000274163787253201, 11.0, 10.0
качество, @default_class, 0.0004984796396456659, 20.0, 17.0
успех, @default_class, 0.000274163787253201, 11.0, 11.0
известно, @default_class, 0.0006480235024355352, 26.0, 26.0
презентация, @default_class, 0.000274163787253201, 11.0, 11.0
санктпетербургский, @default_class, 0.0003240117512177676, 13.0, 13.0
император, @default_class, 0.00024923981982283294, 10.0, 9.0
народ, @default_class, 0.000274163787253201, 11.0, 9.0
летний, @default_class, 0.000274163787253201, 11.0, 10.0
открыть, @default_class, 0.0003240117512177676, 13.0, 13.0
происходить, @default_class, 0.0003489357477519661, 14.0, 14.0
четыре, @default_class, 0.0003489357477519661, 14.0, 14.0
готовый, @default_class, 0.0004237076791469008, 17.0, 15.0
вклад, @default_class, 0.0005234036361798644, 21.0, 18.0
сезон, @default_class, 0.0004237076791469008, 17.0, 10.0
финансирование, @default_class, 0.0005234036361798644, 21.0, 17.0
вуз, @default_class, 0.0006480235024355352, 26.0, 12.0
прокатный, @default_class, 0.0007726434268988669, 31.0, 19.0
смерть, @default_class, 0.0003489357477519661, 14.0, 9.0
любовь, @default_class, 0.00029908778378739953, 12.0, 11.0
деятель, @default_class, 0.0007477194303646684, 30.0, 25.0
оказаться, @default_class, 0.00024923981982283294, 10.0, 10.0
авторский, @default_class, 0.0003240117512177676, 13.0, 10.0
хотеть, @default_class, 0.0003987837117165327, 16.0, 15.0
реставрация, @default_class, 0.0003489357477519661, 14.0, 11.0
компания, @default_class, 0.0012711230665445328, 51.0, 31.0
пять, @default_class, 0.0005981755675747991, 24.0, 20.0
сериал, @default_class, 0.00047355564311146736, 19.0, 11.0
рейтинг, @default_class, 0.0003738597151823342, 15.0, 12.0
август, @default_class, 0.0008224914199672639, 33.0, 29.0
британский, @default_class, 0.0003240117512177676, 13.0, 8.0
николай, @default_class, 0.0003987837117165327, 16.0, 15.0
зарубежный, @default_class, 0.00029908778378739953, 12.0, 11.0
снять, @default_class, 0.0004237076791469008, 17.0, 14.0
олег, @default_class, 0.00029908778378739953, 12.0, 8.0
