name: 3e1f45a0-6fd6-4ac0-827d-e38e8f1bb1af num_items: 51107
token, class_id, token_value, token_tf, token_df
децллохматый, @default_class, 2.088859446303104e-06, 13.0, 5.0
саррацин, @default_class, 1.6068149761849781e-06, 10.0, 1.0
бабалов, @default_class, 2.57090391642123e-06, 16.0, 2.0
луго, @default_class, 1.6068149761849781e-06, 10.0, 2.0
левенбук, @default_class, 2.088859446303104e-06, 13.0, 2.0
холманский, @default_class, 1.7674964283287409e-06, 11.0, 5.0
джок, @default_class, 3.5349928566574818e-06, 22.0, 11.0
этекс, @default_class, 1.6068149761849781e-06, 10.0, 2.0
volo, @default_class, 2.088859446303104e-06, 13.0, 13.0
хэтауэй, @default_class, 1.7674964283287409e-06, 11.0, 5.0
дебаржа, @default_class, 2.088859446303104e-06, 13.0, 2.0
лапорт, @default_class, 1.9281778804725036e-06, 12.0, 3.0
гр, @default_class, 2.4102223505906295e-06, 15.0, 2.0
стефенсон, @default_class, 1.6068149761849781e-06, 10.0, 3.0
корякин, @default_class, 1.6068149761849781e-06, 10.0, 2.0
спамалот, @default_class, 1.7674964283287409e-06, 11.0, 4.0
насыр, @default_class, 1.7674964283287409e-06, 11.0, 4.0
эмден, @default_class, 2.088859446303104e-06, 13.0, 2.0
онфрой, @default_class, 2.4102223505906295e-06, 15.0, 13.0
джасея, @default_class, 2.088859446303104e-06, 13.0, 13.0
барзилай, @default_class, 1.9281778804725036e-06, 12.0, 10.0
луппиан, @default_class, 1.7674964283287409e-06, 11.0, 3.0
xxxtentacion, @default_class, 4.820444701181259e-06, 30.0, 17.0
альбенис, @default_class, 1.6068149761849781e-06, 10.0, 2.0
ингланда, @default_class, 1.6068149761849781e-06, 10.0, 1.0
мнс, @default_class, 1.9281778804725036e-06, 12.0, 2.0
брель, @default_class, 1.9281778804725036e-06, 12.0, 4.0
каридти, @default_class, 3.2136299523699563e-06, 20.0, 6.0
зелмерлевый, @default_class, 5.14180783284246e-06, 32.0, 20.0
бывшева, @default_class, 1.7674964283287409e-06, 11.0, 2.0
юди, @default_class, 2.4102223505906295e-06, 15.0, 4.0
носенко, @default_class, 1.9281778804725036e-06, 12.0, 6.0
бифуз, @default_class, 1.7674964283287409e-06, 11.0, 4.0
фарада, @default_class, 1.6068149761849781e-06, 10.0, 5.0
scribd, @default_class, 1.7674964283287409e-06, 11.0, 2.0
дюморье, @default_class, 2.088859446303104e-06, 13.0, 7.0
