name: d40eb653-6729-44e3-a21c-8d17231f5349 num_items: 142
token, class_id, token_value, token_tf, token_df
татарстан, @default_class, 0.0006094702403061092, 13.0, 2.0
нить, @default_class, 0.0006563525530509651, 14.0, 4.0
импортный, @default_class, 0.0006094702403061092, 13.0, 8.0
достаточно, @default_class, 0.0009376464877277613, 20.0, 7.0
роскачество, @default_class, 0.0018284106627106667, 39.0, 12.0
счёт, @default_class, 0.00046882324386388063, 10.0, 10.0
разработка, @default_class, 0.00046882324386388063, 10.0, 9.0
деятельность, @default_class, 0.00046882324386388063, 10.0, 10.0
стол, @default_class, 0.00046882324386388063, 10.0, 7.0
показатель, @default_class, 0.000703234865795821, 15.0, 14.0
участник, @default_class, 0.0007501171785406768, 16.0, 11.0
иной, @default_class, 0.00046882324386388063, 10.0, 10.0
количество, @default_class, 0.0006094702403061092, 13.0, 11.0
государство, @default_class, 0.0006563525530509651, 14.0, 14.0
ход, @default_class, 0.0006563525530509651, 14.0, 11.0
бюджет, @default_class, 0.0007969995494931936, 17.0, 12.0
современный, @default_class, 0.0007501171785406768, 16.0, 12.0
rfid, @default_class, 0.0005157055566087365, 11.0, 7.0
метка, @default_class, 0.0005625879275612533, 12.0, 7.0
договориться, @default_class, 0.00046882324386388063, 10.0, 9.0
устройство, @default_class, 0.00046882324386388063, 10.0, 8.0
единственный, @default_class, 0.00046882324386388063, 10.0, 7.0
официальный, @default_class, 0.0006094702403061092, 13.0, 12.0
готовый, @default_class, 0.0006094702403061092, 13.0, 11.0
месяц, @default_class, 0.0007501171785406768, 16.0, 14.0
отмечать, @default_class, 0.00046882324386388063, 10.0, 9.0
фабрика, @default_class, 0.001031411113217473, 22.0, 12.0
доллар, @default_class, 0.0005157055566087365, 11.0, 10.0
ребёнок, @default_class, 0.0007969995494931936, 17.0, 13.0
ежегодно, @default_class, 0.0005625879275612533, 12.0, 11.0
использование, @default_class, 0.0008907641749829054, 19.0, 13.0
председатель, @default_class, 0.0005157055566087365, 11.0, 11.0
закупка, @default_class, 0.000703234865795821, 15.0, 11.0
контракт, @default_class, 0.0008907641749829054, 19.0, 8.0
руководитель, @default_class, 0.0005625879275612533, 12.0, 11.0
промышленный, @default_class, 0.0007969995494931936, 17.0, 13.0
ассоциация, @default_class, 0.0006563525530509651, 14.0, 7.0
благодаря, @default_class, 0.00046882324386388063, 10.0, 8.0
волокно, @default_class, 0.0005157055566087365, 11.0, 9.0
площадка, @default_class, 0.0005157055566087365, 11.0, 10.0
поддержать, @default_class, 0.0005157055566087365, 11.0, 9.0
очередь, @default_class, 0.0005625879275612533, 12.0, 12.0
процесс, @default_class, 0.0007969995494931936, 17.0, 13.0
категория, @default_class, 0.0005157055566087365, 11.0, 8.0
напомнить, @default_class, 0.00046882324386388063, 10.0, 10.0
издание, @default_class, 0.00046882324386388063, 10.0, 8.0
питание, @default_class, 0.00046882324386388063, 10.0, 6.0
обувной, @default_class, 0.0005625879275612533, 12.0, 9.0
обеспечение, @default_class, 0.000703234865795821, 15.0, 12.0
синтетический, @default_class, 0.0005157055566087365, 11.0, 6.0
подобный, @default_class, 0.00046882324386388063, 10.0, 8.0
параметр, @default_class, 0.0006094702403061092, 13.0, 8.0
проблема, @default_class, 0.0006094702403061092, 13.0, 11.0
день, @default_class, 0.0006563525530509651, 14.0, 12.0
сделать, @default_class, 0.0005157055566087365, 11.0, 11.0
оценка, @default_class, 0.0006563525530509651, 14.0, 13.0
иметь, @default_class, 0.0006563525530509651, 14.0, 12.0
инвестиция, @default_class, 0.0006563525530509651, 14.0, 13.0
сегмент, @default_class, 0.00046882324386388063, 10.0, 8.0
ссылка, @default_class, 0.0005625879275612533, 12.0, 12.0
делегация, @default_class, 0.001031411113217473, 22.0, 11.0
делать, @default_class, 0.0005157055566087365, 11.0, 8.0
приобрести, @default_class, 0.0005625879275612533, 12.0, 11.0
китай, @default_class, 0.0005625879275612533, 12.0, 10.0
структура, @default_class, 0.0005625879275612533, 12.0, 12.0
вести, @default_class, 0.0006094702403061092, 13.0, 11.0
именно, @default_class, 0.0005157055566087365, 11.0, 10.0
опыт, @default_class, 0.0005625879275612533, 12.0, 10.0
срок, @default_class, 0.0005157055566087365, 11.0, 9.0
курс, @default_class, 0.00046882324386388063, 10.0, 6.0
считать, @default_class, 0.0005157055566087365, 11.0, 9.0
продвижение, @default_class, 0.0005157055566087365, 11.0, 5.0
предложить, @default_class, 0.00046882324386388063, 10.0, 9.0
холдинг, @default_class, 0.000703234865795821, 15.0, 11.0
финансовый, @default_class, 0.0005625879275612533, 12.0, 12.0
партнёр, @default_class, 0.0005625879275612533, 12.0, 10.0
чипирование, @default_class, 0.0006094702403061092, 13.0, 7.0
внешний, @default_class, 0.0005157055566087365, 11.0, 10.0
пошив, @default_class, 0.0008907641749829054, 19.0, 11.0
образ, @default_class, 0.0006094702403061092, 13.0, 12.0
