name: 1907b594-b044-4c11-839b-19d37ca74745 num_items: 54608
token, class_id, token_value, token_tf, token_df
ephone, @default_class, 1.2944276477355743e-06, 10.0, 1.0
аудиокассета, @default_class, 1.2944276477355743e-06, 10.0, 3.0
супервиток, @default_class, 1.5533131545453216e-06, 12.0, 1.0
вудленд, @default_class, 1.2944276477355743e-06, 10.0, 1.0
xos, @default_class, 1.8121987750419066e-06, 14.0, 3.0
аимбет, @default_class, 1.941641585290199e-06, 15.0, 9.0
могенсный, @default_class, 2.2005269784131087e-06, 17.0, 10.0
erudito, @default_class, 1.2944276477355743e-06, 10.0, 3.0
efix, @default_class, 1.6827559647936141e-06, 13.0, 2.0
кербить, @default_class, 2.2005269784131087e-06, 17.0, 7.0
firebird, @default_class, 1.6827559647936141e-06, 13.0, 2.0
ipp, @default_class, 1.4238704579838668e-06, 11.0, 4.0
метформин, @default_class, 1.941641585290199e-06, 15.0, 2.0
popslate, @default_class, 1.2944276477355743e-06, 10.0, 2.0
uw, @default_class, 1.4238704579838668e-06, 11.0, 2.0
дитон, @default_class, 1.2944276477355743e-06, 10.0, 2.0
айдын, @default_class, 1.4238704579838668e-06, 11.0, 10.0
wtf, @default_class, 1.8121987750419066e-06, 14.0, 3.0
hulc, @default_class, 2.2005269784131087e-06, 17.0, 3.0
бресникнуть, @default_class, 2.2005269784131087e-06, 17.0, 7.0
conroe, @default_class, 1.941641585290199e-06, 15.0, 7.0
госнолд, @default_class, 1.2944276477355743e-06, 10.0, 1.0
эврика, @default_class, 1.4238704579838668e-06, 11.0, 5.0
бомжара, @default_class, 1.8121987750419066e-06, 14.0, 5.0
дренаж, @default_class, 1.5533131545453216e-06, 12.0, 10.0
лептонный, @default_class, 1.5533131545453216e-06, 12.0, 5.0
hotline, @default_class, 1.8121987750419066e-06, 14.0, 3.0
grishin, @default_class, 1.2944276477355743e-06, 10.0, 3.0
radionomy, @default_class, 2.2005269784131087e-06, 17.0, 2.0
венозный, @default_class, 1.8121987750419066e-06, 14.0, 4.0
анион, @default_class, 1.6827559647936141e-06, 13.0, 5.0
конфуций, @default_class, 1.4238704579838668e-06, 11.0, 2.0
киберсекс, @default_class, 1.5533131545453216e-06, 12.0, 2.0
cid, @default_class, 1.4238704579838668e-06, 11.0, 3.0
wga, @default_class, 1.6827559647936141e-06, 13.0, 3.0
волчица, @default_class, 1.4238704579838668e-06, 11.0, 6.0
bump, @default_class, 1.8121987750419066e-06, 14.0, 2.0
шангуаня, @default_class, 1.4238704579838668e-06, 11.0, 1.0
сушилка, @default_class, 1.8121987750419066e-06, 14.0, 4.0
дип, @default_class, 1.4238704579838668e-06, 11.0, 4.0
бенфорд, @default_class, 1.8121987750419066e-06, 14.0, 3.0
shoutcast, @default_class, 1.2944276477355743e-06, 10.0, 3.0
dyson, @default_class, 1.2944276477355743e-06, 10.0, 2.0
