name: a05daeb2-904f-4c7b-b1d3-a3989292aecf num_items: 37224
token, class_id, token_value, token_tf, token_df
вудсток, @default_class, 1.9979122498625657e-06, 10.0, 1.0
макнамар, @default_class, 1.9979122498625657e-06, 10.0, 1.0
бодруновый, @default_class, 3.396450665604789e-06, 17.0, 5.0
баранчик, @default_class, 2.1977034521114547e-06, 11.0, 3.0
logoji, @default_class, 2.5972858566092327e-06, 13.0, 1.0
stratcom, @default_class, 2.5972858566092327e-06, 13.0, 6.0
шроер, @default_class, 2.1977034521114547e-06, 11.0, 2.0
черногуб, @default_class, 2.1977034521114547e-06, 11.0, 1.0
белан, @default_class, 2.5972858566092327e-06, 13.0, 4.0
editas, @default_class, 1.9979122498625657e-06, 10.0, 1.0
speakingpal, @default_class, 1.9979122498625657e-06, 10.0, 1.0
баннатайна, @default_class, 1.9979122498625657e-06, 10.0, 1.0
zvooq, @default_class, 1.9979122498625657e-06, 10.0, 3.0
саррацин, @default_class, 2.7970770588581217e-06, 14.0, 2.0
кронкайт, @default_class, 2.1977034521114547e-06, 11.0, 2.0
каныгин, @default_class, 2.5972858566092327e-06, 13.0, 4.0
кокойт, @default_class, 2.3974946543603437e-06, 12.0, 10.0
лоуэнфельд, @default_class, 1.9979122498625657e-06, 10.0, 4.0
правдыра, @default_class, 2.7970770588581217e-06, 14.0, 4.0
jdcom, @default_class, 1.9979122498625657e-06, 10.0, 2.0
mixradio, @default_class, 2.7970770588581217e-06, 14.0, 2.0
навка, @default_class, 3.596241867853678e-06, 18.0, 6.0
downforeveryoneorjustme, @default_class, 3.796033070102567e-06, 19.0, 19.0
афишарамблер, @default_class, 1.0988516805809923e-05, 55.0, 41.0
баданин, @default_class, 1.3186220712668728e-05, 66.0, 24.0
lex, @default_class, 2.3974946543603437e-06, 12.0, 5.0
кэролин, @default_class, 3.1966594633559e-06, 16.0, 16.0
видеовстреча, @default_class, 3.995824499725131e-06, 20.0, 9.0
демонтаж, @default_class, 1.5184132280410267e-05, 76.0, 40.0
опуститься, @default_class, 1.2586846423801035e-05, 63.0, 55.0
контрагент, @default_class, 2.7970770588581217e-06, 14.0, 13.0
эксперттво, @default_class, 5.1945717132184654e-06, 26.0, 9.0
клара, @default_class, 2.1977034521114547e-06, 11.0, 9.0
отдыхать, @default_class, 1.9379747755010612e-05, 97.0, 91.0
джантжий, @default_class, 2.5972858566092327e-06, 13.0, 2.0
младенец, @default_class, 1.578350565978326e-05, 79.0, 61.0
volvo, @default_class, 4.395406904222909e-06, 22.0, 15.0
вшэ, @default_class, 2.5972858566092327e-06, 13.0, 9.0
фэллона, @default_class, 8.591022378823254e-06, 43.0, 24.0
su, @default_class, 1.917995723488275e-05, 96.0, 46.0
logica, @default_class, 1.9979122498625657e-06, 10.0, 10.0
порочный, @default_class, 3.396450665604789e-06, 17.0, 15.0
kinozaltv, @default_class, 2.1977034521114547e-06, 11.0, 7.0
сталинград, @default_class, 2.1977034521114547e-06, 11.0, 11.0
пбк, @default_class, 5.394362688093679e-06, 27.0, 8.0
