name: c2f47272-27b1-4890-9c2e-253da0c12688 num_items: 22378
token, class_id, token_value, token_tf, token_df
хекхофф, @default_class, 5.044617864768952e-06, 13.0, 1.0
преджин, @default_class, 3.880475105688674e-06, 10.0, 1.0
палфри, @default_class, 5.432665147964144e-06, 14.0, 2.0
тарбозавр, @default_class, 5.432665147964144e-06, 14.0, 5.0
ариадна, @default_class, 4.268522843631217e-06, 11.0, 7.0
шкрель, @default_class, 4.268522843631217e-06, 11.0, 2.0
зубровый, @default_class, 5.432665147964144e-06, 14.0, 3.0
пиа, @default_class, 4.268522843631217e-06, 11.0, 11.0
эсперанто, @default_class, 7.372902928182157e-06, 19.0, 2.0
беленький, @default_class, 8.537045687262435e-06, 22.0, 4.0
wispa, @default_class, 4.656570126826409e-06, 12.0, 3.0
фурние, @default_class, 8.148997949319892e-06, 21.0, 3.0
одинцов, @default_class, 3.880475105688674e-06, 10.0, 3.0
мартинез, @default_class, 4.656570126826409e-06, 12.0, 4.0
айкинс, @default_class, 5.044617864768952e-06, 13.0, 4.0
немцов, @default_class, 4.656570126826409e-06, 12.0, 8.0
пес, @default_class, 5.820712885906687e-06, 15.0, 5.0
буркиня, @default_class, 7.372902928182157e-06, 19.0, 6.0
кавакас, @default_class, 5.044617864768952e-06, 13.0, 3.0
weight, @default_class, 5.820712885906687e-06, 15.0, 7.0
шеферд, @default_class, 3.880475105688674e-06, 10.0, 5.0
райфорд, @default_class, 6.208760169101879e-06, 16.0, 5.0
манька, @default_class, 6.208760169101879e-06, 16.0, 7.0
норвуд, @default_class, 5.432665147964144e-06, 14.0, 4.0
бурцев, @default_class, 4.268522843631217e-06, 11.0, 4.0
suzycortezoficial, @default_class, 5.820712885906687e-06, 15.0, 7.0
шупетта, @default_class, 8.148997949319892e-06, 21.0, 6.0
вурстый, @default_class, 5.432665147964144e-06, 14.0, 6.0
кончита, @default_class, 6.596807907044422e-06, 17.0, 6.0
нойвирт, @default_class, 4.268522843631217e-06, 11.0, 5.0
бонт, @default_class, 3.880475105688674e-06, 10.0, 3.0
рорь, @default_class, 4.268522843631217e-06, 11.0, 3.0
энсьерро, @default_class, 5.432665147964144e-06, 14.0, 6.0
макдугала, @default_class, 4.268522843631217e-06, 11.0, 2.0
нахудо, @default_class, 5.820712885906687e-06, 15.0, 4.0
ромни, @default_class, 4.268522843631217e-06, 11.0, 5.0
абдразаков, @default_class, 6.984855190239614e-06, 18.0, 9.0
эльмир, @default_class, 5.432665147964144e-06, 14.0, 10.0
портер, @default_class, 1.0089235729537904e-05, 26.0, 10.0
дэниелс, @default_class, 4.656570126826409e-06, 12.0, 6.0
калпо, @default_class, 5.820712885906687e-06, 15.0, 6.0
установили_ный, @default_class, 3.880475105688674e-06, 10.0, 10.0
логгерхед, @default_class, 3.880475105688674e-06, 10.0, 4.0
малахий, @default_class, 3.880475105688674e-06, 10.0, 3.0
bahlsen, @default_class, 8.537045687262435e-06, 22.0, 6.0
сосулька, @default_class, 3.880475105688674e-06, 10.0, 3.0
тверк, @default_class, 5.432665147964144e-06, 14.0, 12.0
цукерберг, @default_class, 5.044617864768952e-06, 13.0, 7.0
патерсон, @default_class, 4.656570126826409e-06, 12.0, 4.0
бизон, @default_class, 6.984855190239614e-06, 18.0, 7.0
мариуса, @default_class, 1.0089235729537904e-05, 26.0, 8.0
управа, @default_class, 3.880475105688674e-06, 10.0, 6.0
орлан, @default_class, 1.0089235729537904e-05, 26.0, 8.0
белоголовый, @default_class, 4.656570126826409e-06, 12.0, 6.0
хиновый, @default_class, 4.268522843631217e-06, 11.0, 5.0
сантиса, @default_class, 3.880475105688674e-06, 10.0, 4.0
валлаби, @default_class, 9.701187991595361e-06, 25.0, 6.0
вязальщик, @default_class, 4.656570126826409e-06, 12.0, 3.0
салленбергер, @default_class, 5.432665147964144e-06, 14.0, 2.0
ромен, @default_class, 3.880475105688674e-06, 10.0, 10.0
ubs, @default_class, 3.880475105688674e-06, 10.0, 3.0
нобласть, @default_class, 7.760950211377349e-06, 20.0, 4.0
примёрзнуть, @default_class, 4.656570126826409e-06, 12.0, 8.0
моржонок, @default_class, 5.044617864768952e-06, 13.0, 2.0
иствуд, @default_class, 7.372902928182157e-06, 19.0, 5.0
зубков, @default_class, 4.268522843631217e-06, 11.0, 4.0
сбербанк, @default_class, 4.268522843631217e-06, 11.0, 5.0
денни, @default_class, 4.656570126826409e-06, 12.0, 8.0
несси, @default_class, 4.268522843631217e-06, 11.0, 4.0
асбый, @default_class, 4.268522843631217e-06, 11.0, 3.0
романов, @default_class, 5.820712885906687e-06, 15.0, 6.0
ивон, @default_class, 3.880475105688674e-06, 10.0, 3.0
шут, @default_class, 4.268522843631217e-06, 11.0, 3.0
пэйдж, @default_class, 7.372902928182157e-06, 19.0, 4.0
бронетранспортёр, @default_class, 6.596807907044422e-06, 17.0, 5.0
броненосец, @default_class, 6.596807907044422e-06, 17.0, 5.0
carrefour, @default_class, 3.880475105688674e-06, 10.0, 5.0
шеклтон, @default_class, 6.596807907044422e-06, 17.0, 5.0
томаш, @default_class, 3.880475105688674e-06, 10.0, 5.0
шайн, @default_class, 5.044617864768952e-06, 13.0, 3.0
iron, @default_class, 4.268522843631217e-06, 11.0, 9.0
прикус, @default_class, 3.880475105688674e-06, 10.0, 9.0
ясновидящий, @default_class, 4.656570126826409e-06, 12.0, 9.0
берглунд, @default_class, 5.432665147964144e-06, 14.0, 5.0
ноэль_галлахер, @default_class, 5.432665147964144e-06, 14.0, 8.0
oasis, @default_class, 1.0089235729537904e-05, 26.0, 13.0
энфилд, @default_class, 5.044617864768952e-06, 13.0, 7.0
милльпие, @default_class, 4.656570126826409e-06, 12.0, 3.0
прокол, @default_class, 3.880475105688674e-06, 10.0, 6.0
биби, @default_class, 5.432665147964144e-06, 14.0, 5.0
