name: 19de586a-f9c2-45c5-9124-325b5b548785 num_items: 149652
token, class_id, token_value, token_tf, token_df
спенглера, @default_class, 7.604081133649743e-07, 12.0, 2.0
альшугур, @default_class, 8.237754514084372e-07, 13.0, 4.0
пуйеуэ, @default_class, 6.336733804346295e-07, 10.0, 3.0
хавад, @default_class, 6.336733804346295e-07, 10.0, 4.0
ванта, @default_class, 7.604081133649743e-07, 12.0, 3.0
токуда, @default_class, 9.505101274953631e-07, 15.0, 4.0
шапиренко, @default_class, 6.336733804346295e-07, 10.0, 2.0
сасаго, @default_class, 6.970407184780925e-07, 11.0, 5.0
акчакать, @default_class, 6.970407184780925e-07, 11.0, 8.0
силаев, @default_class, 1.203979422825796e-06, 19.0, 2.0
хемлера, @default_class, 7.604081133649743e-07, 12.0, 1.0
пансков, @default_class, 8.871427894519002e-07, 14.0, 1.0
гамсахурдия, @default_class, 8.871427894519002e-07, 14.0, 4.0
казинск, @default_class, 6.336733804346295e-07, 10.0, 2.0
тэггарт, @default_class, 6.336733804346295e-07, 10.0, 3.0
альсатана, @default_class, 7.604081133649743e-07, 12.0, 9.0
наебзад, @default_class, 6.336733804346295e-07, 10.0, 2.0
дири, @default_class, 6.970407184780925e-07, 11.0, 2.0
алварес, @default_class, 6.336733804346295e-07, 10.0, 3.0
cpi, @default_class, 8.871427894519002e-07, 14.0, 2.0
рожецкина, @default_class, 8.871427894519002e-07, 14.0, 2.0
альчук, @default_class, 7.604081133649743e-07, 12.0, 3.0
шодри, @default_class, 6.970407184780925e-07, 11.0, 5.0
декуэн, @default_class, 7.604081133649743e-07, 12.0, 2.0
толли, @default_class, 1.0138774086954072e-06, 16.0, 3.0
элдин, @default_class, 8.871427894519002e-07, 14.0, 2.0
рёттген, @default_class, 6.970407184780925e-07, 11.0, 2.0
маалул, @default_class, 1.9010202549907262e-06, 30.0, 13.0
наутилус, @default_class, 2.407958845651592e-06, 38.0, 22.0
nva, @default_class, 8.237754514084372e-07, 13.0, 7.0
однотипный, @default_class, 1.1406120847823331e-06, 18.0, 18.0
фосфатный, @default_class, 6.336733804346295e-07, 10.0, 10.0
страничный, @default_class, 2.287561073899269e-05, 361.0, 356.0
ваэль, @default_class, 2.1544894934777403e-06, 34.0, 31.0
peace, @default_class, 7.604081019962905e-06, 120.0, 91.0
чон, @default_class, 1.4701223335578106e-05, 232.0, 139.0
исследователь, @default_class, 3.675305924843997e-05, 580.0, 484.0
марчелло, @default_class, 1.6475509028168744e-06, 26.0, 20.0
тичино, @default_class, 8.237754514084372e-07, 13.0, 10.0
унгурян, @default_class, 1.1406120847823331e-06, 18.0, 9.0
монреаль, @default_class, 1.1216019629500806e-05, 177.0, 126.0
нагой, @default_class, 1.964387593034189e-06, 31.0, 21.0
гинован, @default_class, 9.505101274953631e-07, 15.0, 14.0
найденов, @default_class, 2.471326297381893e-06, 39.0, 14.0
алькатрас, @default_class, 8.871427894519002e-07, 14.0, 8.0
проклясть, @default_class, 1.1406120847823331e-06, 18.0, 17.0
перепечатка, @default_class, 8.871427894519002e-07, 14.0, 13.0
чичваркин, @default_class, 2.9148975499992957e-06, 46.0, 9.0
филицо, @default_class, 8.871427894519002e-07, 14.0, 5.0
машкевич, @default_class, 4.689183242589934e-06, 74.0, 33.0
медиарегулятор, @default_class, 7.604081133649743e-07, 12.0, 7.0
твёрдость, @default_class, 1.8376529169472633e-06, 29.0, 29.0
