name: 05e559dd-628c-40ba-870c-5e0b2dcd101a num_items: 8245
token, class_id, token_value, token_tf, token_df
роуминг, @default_class, 1.0087213922815863e-05, 10.0, 3.0
виолье, @default_class, 1.0087213922815863e-05, 10.0, 2.0
кровоизлияние, @default_class, 1.0087213922815863e-05, 10.0, 10.0
коксак, @default_class, 5.0436068704584613e-05, 50.0, 23.0
сомовый, @default_class, 1.3113378372509032e-05, 13.0, 3.0
лукьянов, @default_class, 1.2104656889277976e-05, 12.0, 7.0
шаурм, @default_class, 1.3113378372509032e-05, 13.0, 5.0
гильман, @default_class, 1.0087213922815863e-05, 10.0, 3.0
завентема, @default_class, 2.0174427845631726e-05, 20.0, 16.0
маальбек, @default_class, 1.714826430543326e-05, 17.0, 17.0
мегана_марклый, @default_class, 1.0087213922815863e-05, 10.0, 4.0
pdt, @default_class, 1.3113378372509032e-05, 13.0, 6.0
пенис, @default_class, 1.2104656889277976e-05, 12.0, 3.0
вомбиер, @default_class, 1.3113378372509032e-05, 13.0, 4.0
travelleisure, @default_class, 1.109593540604692e-05, 11.0, 4.0
гудаутский, @default_class, 1.0087213922815863e-05, 10.0, 7.0
полина, @default_class, 1.0087213922815863e-05, 10.0, 6.0
самоа, @default_class, 1.2104656889277976e-05, 12.0, 5.0
палау, @default_class, 1.2104656889277976e-05, 12.0, 7.0
шукри, @default_class, 1.714826430543326e-05, 17.0, 9.0
финч, @default_class, 1.0087213922815863e-05, 10.0, 2.0
трамп, @default_class, 5.0436068704584613e-05, 50.0, 29.0
корь, @default_class, 1.0087213922815863e-05, 10.0, 4.0
transavia, @default_class, 1.3113378372509032e-05, 13.0, 9.0
ситуационнокризисный, @default_class, 1.916570727189537e-05, 19.0, 19.0
зика, @default_class, 1.2104656889277976e-05, 12.0, 4.0
квеста, @default_class, 1.109593540604692e-05, 11.0, 10.0
ay, @default_class, 1.0087213922815863e-05, 10.0, 4.0
денге, @default_class, 1.0087213922815863e-05, 10.0, 5.0
