name: 8e611c9c-026d-4710-8a05-5dcad298c537 num_items: 60849
token, class_id, token_value, token_tf, token_df
чоойя, @default_class, 1.4849878198219812e-06, 10.0, 7.0
макклеллан, @default_class, 1.4849878198219812e-06, 10.0, 1.0
фейер, @default_class, 1.4849878198219812e-06, 10.0, 1.0
рая, @default_class, 2.227481672889553e-06, 15.0, 2.0
дэвисон, @default_class, 1.4849878198219812e-06, 10.0, 4.0
усуриага, @default_class, 1.9304841316625243e-06, 13.0, 3.0
щучкина, @default_class, 1.6334865904354956e-06, 11.0, 4.0
севид, @default_class, 1.4849878198219812e-06, 10.0, 1.0
асташенко, @default_class, 2.227481672889553e-06, 15.0, 3.0
бучча, @default_class, 1.78198536104901e-06, 12.0, 8.0
вульф, @default_class, 1.4849878198219812e-06, 10.0, 3.0
хисела, @default_class, 1.6334865904354956e-06, 11.0, 11.0
хурайт, @default_class, 2.5244792141165817e-06, 17.0, 6.0
павицкий, @default_class, 1.9304841316625243e-06, 13.0, 5.0
dannemann, @default_class, 1.4849878198219812e-06, 10.0, 10.0
жимоньй, @default_class, 1.4849878198219812e-06, 10.0, 5.0
пантаня, @default_class, 2.5244792141165817e-06, 17.0, 2.0
куницкай, @default_class, 2.0789830159628764e-06, 14.0, 5.0
pussy, @default_class, 1.9304841316625243e-06, 13.0, 7.0
слиманя, @default_class, 1.4849878198219812e-06, 10.0, 5.0
бродкина, @default_class, 1.4849878198219812e-06, 10.0, 4.0
ерахтина, @default_class, 1.9304841316625243e-06, 13.0, 8.0
обуховый, @default_class, 1.4849878198219812e-06, 10.0, 10.0
rbfa, @default_class, 1.4849878198219812e-06, 10.0, 5.0
паризя, @default_class, 1.9304841316625243e-06, 13.0, 3.0
перелыгин, @default_class, 1.4849878198219812e-06, 10.0, 6.0
дрогеда, @default_class, 1.4849878198219812e-06, 10.0, 5.0
штимаца, @default_class, 1.6334865904354956e-06, 11.0, 4.0
минин, @default_class, 3.118474296570639e-06, 21.0, 11.0
манкузый, @default_class, 1.6334865904354956e-06, 11.0, 9.0
рокфорд, @default_class, 1.4849878198219812e-06, 10.0, 2.0
сайксом, @default_class, 2.0789830159628764e-06, 14.0, 9.0
далайлама, @default_class, 1.9304841316625243e-06, 13.0, 4.0
тибет, @default_class, 4.454963345779106e-06, 30.0, 16.0
обцилера, @default_class, 1.6334865904354956e-06, 11.0, 5.0
маккен, @default_class, 1.4849878198219812e-06, 10.0, 2.0
тиммс, @default_class, 2.227481672889553e-06, 15.0, 2.0
нумансия, @default_class, 2.8214767553436104e-06, 19.0, 9.0
мундина, @default_class, 1.78198536104901e-06, 12.0, 3.0
bucket, @default_class, 1.78198536104901e-06, 12.0, 10.0
клегга, @default_class, 1.78198536104901e-06, 12.0, 9.0
айвить, @default_class, 1.6334865904354956e-06, 11.0, 2.0
бологать, @default_class, 9.058425348484889e-06, 61.0, 21.0
балмочный, @default_class, 1.4849878198219812e-06, 10.0, 1.0
козлы, @default_class, 1.78198536104901e-06, 12.0, 10.0
нескенс, @default_class, 2.0789830159628764e-06, 14.0, 4.0
веракрус, @default_class, 1.9304841316625243e-06, 13.0, 3.0
geox, @default_class, 1.4849878198219812e-06, 10.0, 4.0
акрополь, @default_class, 1.6334865904354956e-06, 11.0, 4.0
беттаня, @default_class, 1.4849878198219812e-06, 10.0, 9.0
лэндрум, @default_class, 1.6334865904354956e-06, 11.0, 1.0
брызгин, @default_class, 1.4849878198219812e-06, 10.0, 1.0
тобол, @default_class, 2.227481672889553e-06, 15.0, 8.0
астанин, @default_class, 1.78198536104901e-06, 12.0, 7.0
наитый, @default_class, 1.4849878198219812e-06, 10.0, 2.0
фристайлист, @default_class, 3.860968263325049e-06, 26.0, 21.0
сдири, @default_class, 1.78198536104901e-06, 12.0, 4.0
питкамяк, @default_class, 1.6334865904354956e-06, 11.0, 5.0
схип, @default_class, 1.4849878198219812e-06, 10.0, 9.0
финастерид, @default_class, 1.6334865904354956e-06, 11.0, 6.0
ават, @default_class, 1.6334865904354956e-06, 11.0, 6.0
аргуэльо, @default_class, 5.197457539907191e-06, 35.0, 19.0
вассальо, @default_class, 3.4154720651713433e-06, 23.0, 16.0
саитый, @default_class, 2.8214767553436104e-06, 19.0, 4.0
загайнов, @default_class, 1.4849878198219812e-06, 10.0, 3.0
сандри, @default_class, 2.5244792141165817e-06, 17.0, 5.0
амадора, @default_class, 1.4849878198219812e-06, 10.0, 8.0
сабликовый, @default_class, 2.672978098416934e-06, 18.0, 6.0
шумен, @default_class, 1.6334865904354956e-06, 11.0, 6.0
хендрик, @default_class, 1.78198536104901e-06, 12.0, 5.0
воронков, @default_class, 2.9699756396439625e-06, 20.0, 9.0
нортон, @default_class, 3.118474296570639e-06, 21.0, 2.0
вудхаус, @default_class, 1.9304841316625243e-06, 13.0, 2.0
тупить, @default_class, 2.5244792141165817e-06, 17.0, 3.0
фарнборо, @default_class, 2.5244792141165817e-06, 17.0, 3.0
ранять, @default_class, 1.4849878198219812e-06, 10.0, 1.0
духовник, @default_class, 1.6334865904354956e-06, 11.0, 6.0
кулалаев, @default_class, 2.227481672889553e-06, 15.0, 7.0
канталехий, @default_class, 3.712469606398372e-06, 25.0, 13.0
котдивуар, @default_class, 1.4849878198219812e-06, 10.0, 10.0
chesspro, @default_class, 1.4849878198219812e-06, 10.0, 10.0
шарм, @default_class, 1.4849878198219812e-06, 10.0, 5.0
хайд, @default_class, 1.4849878198219812e-06, 10.0, 3.0
гуца, @default_class, 2.5244792141165817e-06, 17.0, 5.0
зриньски, @default_class, 1.4849878198219812e-06, 10.0, 5.0
витджорджия, @default_class, 1.4849878198219812e-06, 10.0, 6.0
оглушить, @default_class, 1.78198536104901e-06, 12.0, 11.0
