docID,year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,1999,10,0.0,0.056231465,0.0,0.26551005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31952262,0.0,0.0,0.0,0.0,0.35873583,0.0,0.0
1,1999,10,0.0,0.0,0.0,0.20130026,0.0,0.0,0.31942198,0.0,0.0064080227,0.0,0.0,0.058696896,0.028201811,0.0,0.0,0.0,0.0,0.33090213,0.014969732,0.040099192
2,1999,10,0.0,0.0,0.0,0.21864639,0.18503232,0.57306427,0.0,0.0,0.0,0.0,0.023257019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1999,10,0.0,0.0,0.0,0.0,0.0,0.05631705,0.052138858,0.08284284,0.0,0.0,0.31472498,0.08940803,0.0,0.0,0.0,0.28907898,0.11548925,0.0,0.0,0.0
4,1999,10,0.0,0.03822135,0.0,0.0,0.0,0.0,0.50021446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26285225,0.0,0.19871195
5,1999,10,0.0,0.0,0.026846655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97315335,0.0,0.0,0.0,0.0
6,1999,10,0.0,0.0,0.0,0.70028734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100915745,0.0,0.0,0.0,0.0,0.19879693
7,1999,10,0.0,0.13994925,0.21205293,0.0,0.0,0.0,0.28216243,0.0,0.10084717,0.0,0.0,0.0,0.0,0.0,0.060335048,0.0,0.0,0.20465316,0.0,0.0
8,1999,10,0.0,0.1059104,0.0,0.116361745,0.0,0.01828178,0.0,0.0,0.025354128,0.0,0.5416188,0.0,0.0,0.14717779,0.045295224,0.0,0.0,0.0,0.0,0.0
9,1999,10,0.3462587,0.0,0.0,0.4954293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15831201,0.0,0.0,0.0,0.0,0.0,0.0
10,1999,10,0.0,0.011673768,0.0,0.161454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23049863,0.27501926,0.32135436,0.0,0.0,0.0,0.0,0.0
11,1999,10,0.0,0.07110077,0.27548754,0.0,0.2684512,0.0,0.10833926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20074798,0.0,0.075873315,0.0,0.0,0.0
12,1999,10,0.0,0.0061539854,0.0,0.1437538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31888667,0.22723168,0.0,0.0,0.0,0.30397394,0.0,0.0
13,1999,10,0.0,0.0053425347,0.0,0.51581216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06839343,0.109328,0.0,0.0,0.0,0.29719508,0.0,0.003928819
14,1999,10,0.23128548,0.4145036,0.21120389,0.027628941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081352144,0.0,0.034025982,0.0
15,1999,10,0.0,0.0,0.0,0.34196725,0.12274357,0.46412435,0.0,0.0,0.0,0.0,0.0,0.0,0.07116484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1999,10,0.0,0.017815989,0.0511949,0.0,0.0,0.0,0.64299196,0.0,0.0,0.0,0.0,0.0,0.087372445,0.007219249,0.0,0.0,0.0,0.06869698,0.12470842,0.0
17,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,1999,10,0.0,0.0,0.020737832,0.08924176,0.13796984,0.041456096,0.0,0.0,0.0,0.0,0.15591398,0.0,0.0,0.0,0.5163196,0.0,0.038360987,0.0,0.0,0.0
19,1999,10,0.0,0.0,0.0,0.0,0.20473139,0.037862398,0.09242337,0.0,0.0,0.0,0.30918914,0.0,0.0,0.0,0.35214332,0.0,0.003650222,0.0,0.0,0.0
20,1999,10,0.0,0.0,0.19611108,0.25647458,0.0,0.0,0.39697802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924045,0.0,0.0,0.05803178,0.0,0.0
21,1999,10,0.0,0.011462524,0.0,0.39064878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023799622,0.04096422,0.0,0.0,0.0,0.42881042,0.0,0.10431442
22,1999,10,0.0,0.0,0.4009776,0.0,0.015106014,0.0,0.0,0.06699557,0.0,0.0,0.07190181,0.18526796,0.0,0.0,0.0,0.25975093,0.0,0.0,0.0,0.0
23,1999,10,0.13859823,0.0,0.08907165,0.0,0.0,0.0,0.0,0.0,0.040489864,0.02247793,0.0,0.0,0.0,0.28507555,0.0,0.0,0.0,0.33617303,0.0,0.08811373
24,1999,10,0.17959552,0.0,0.0,0.25179452,0.0,0.0,0.0,0.0,0.0,0.2590006,0.0,0.0,0.0,0.0,0.014566295,0.2950431,0.0,0.0,0.0,0.0
25,1999,10,0.0,0.0,0.031640235,0.0,0.0,0.0,0.4765448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25494096,0.0,0.0,0.236874,0.0,0.0
26,1999,10,0.0,0.12225334,0.0,0.75949806,0.0,0.0,0.0,0.0,0.032599587,0.0,0.0,0.0,0.015365126,0.0,0.0,0.070283934,0.0,0.0,0.0,0.0
27,1999,10,0.0,0.0,0.0,0.48096582,0.08657723,0.16569017,0.0,0.0,0.0,0.0,0.16431272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10245409
28,1999,10,0.0,0.0,0.28266042,0.2775268,0.0,0.0,0.24136806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11542723,0.0,0.0,0.045827307,0.0,0.037190206
29,1999,10,0.31460387,0.0,0.1254519,0.5599442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1999,10,0.0,0.0502765,0.0,0.37356764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3758993,0.0,0.20025654
31,1999,10,0.0,0.0,0.0,0.91704863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04778488,0.0,0.0,0.0,0.035166416,0.0
32,1999,10,0.0,0.0,0.0,0.3761835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29614702,0.25261277,0.0,0.07505668,0.0,0.0,0.0,0.0,0.0
33,1999,10,0.020817075,0.0,0.047675308,0.23549591,0.0,0.0,0.49361762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153628215,0.0,0.18703131,0.0,0.0
34,1999,10,0.54494405,0.0,0.25802124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19703466,0.0,0.0,0.0,0.0,0.0
35,1999,10,0.0,0.036806908,0.0,0.24434757,0.0,0.044962864,0.0,0.0,0.27678776,0.0,0.03480496,0.0,0.0,0.0,0.0,0.10917726,0.15407318,0.0,0.0,0.09903944
36,1999,10,0.0,0.0,0.11261742,0.23527128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118794285,0.533317,0.0,0.0,0.0,0.0,0.0
37,1999,10,0.008171872,0.0,0.123993345,0.29338807,0.0,0.0,0.48506987,0.0,0.0,0.0,0.0,0.0,0.024128733,0.065248035,0.0,0.0,0.0,0.0,0.0,0.0
38,1999,10,0.0,0.22681025,0.23395495,0.21881457,0.0,0.079755835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24066447,0.0,0.0,0.0
39,1999,12,0.024782978,0.0,0.0,0.0,0.17632093,0.781703,0.0,0.0,0.0,0.0,0.010263432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006929679,0.0
40,1999,12,0.0,0.0,0.036750354,0.0,0.16265643,0.26961038,0.016826821,0.09744685,0.0,0.0,0.0,0.10382458,0.0,0.038265534,0.042881746,0.23173742,0.0,0.0,0.0,0.0
41,1999,12,0.0,0.051055275,0.013197229,0.0,0.2736465,0.14244296,0.012959643,0.0,0.027829314,0.0,0.021938168,0.0,0.0,0.0,0.007964149,0.0,0.17607783,0.0,0.0,0.2728889
42,1999,12,0.0,0.0,0.037997447,0.300209,0.0,0.0,0.3610017,0.0,0.08296632,0.0,0.0,0.0,0.0,0.0,0.029197825,0.0,0.0,0.023103554,0.028284548,0.1372397
43,1999,12,0.0,0.02798719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016201332,0.0,0.0,0.035430353,0.0,0.0,0.0,0.0,0.3850582,0.45065454,0.0846684
44,1999,12,0.0,0.0,0.0,0.36273378,0.25692037,0.0,0.0,0.0,0.0,0.0,0.049899157,0.0,0.0,0.0,0.33044666,0.0,0.0,0.0,0.0,0.0
45,1999,12,0.0,0.005540161,0.01191755,0.28686628,0.19394395,0.0,0.0,0.0,0.0,0.08815624,0.18361019,0.0,0.0,0.0,0.22996563,0.0,0.0,0.0,0.0,0.0
46,1999,12,0.0,0.0220675,0.0,0.91665703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01169696,0.0,0.0,0.01908597,0.022532864,0.0,0.007959762,0.0
47,1999,12,0.0,0.0,0.0,0.024213683,0.11307724,0.0,0.13333403,0.0,0.0,0.19427113,0.0,0.0,0.0,0.0018720041,0.0,0.0,0.0,0.1529835,0.09451426,0.28573415
48,1999,12,0.0,0.026374327,0.12453239,0.0,0.21762688,0.51621825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11524811,0.0,0.0,0.0,0.0
49,1999,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060951024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93904895,0.0,0.0,0.0,0.0
50,1999,12,0.054785684,0.37631726,0.0,0.26165184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1490292,0.0,0.0,0.044315543,0.04525383,0.0,0.0,0.06864668
51,1999,12,0.0,0.12835498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054192603,0.0,0.0,0.25047868,0.0,0.0,0.0,0.0,0.24918829,0.08496316,0.23282233
