docID,year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16600555,0.0,0.0,0.0,0.0,0.0,0.0,0.75392133,0.0011297504,0.06919868,0.0,0.0,0.009744769
1,1999,10,0.0,0.0,0.49302295,0.0,0.0,0.0,0.313387,0.0,0.0,0.056449983,0.0,0.0,0.12563545,0.0,0.011504562,0.0,0.0,0.0,0.0,0.0
2,1999,10,0.0,0.0,0.0,0.0,0.0,0.75952417,0.0,0.1741379,0.0,0.0,0.048005212,0.0,0.0,0.0,0.0,0.0,0.0,0.018332675,0.0,0.0
3,1999,10,0.0,0.0828995,0.0,0.0,0.0,0.0,0.015257181,0.13419932,0.0,0.11169303,0.0,0.0,0.23495196,0.030956516,0.0,0.2684744,0.0,0.12156809,0.0,0.0
4,1999,10,0.03638204,0.10608362,0.24830958,0.0,0.0,0.0,0.066099666,0.3051284,0.0,0.0,0.0,0.0,0.01571895,0.0,0.0,0.19233327,0.0,0.0,0.02994454,0.0
5,1999,10,0.0,0.07561117,0.0,0.06966688,0.0,0.0,0.0,0.082871445,0.0,0.07581806,0.09542205,0.0,0.052836176,0.0,0.3936838,0.0,0.0,0.088265575,0.0,0.06582495
6,1999,10,0.08329415,0.15235658,0.0,0.0,0.0,0.0,0.09114601,0.111204736,0.0,0.10506843,0.016579133,0.0,0.19587566,0.047603082,0.0,0.0,0.1968722,0.0,0.0,0.0
7,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16288851,0.0,0.0,0.0,0.29281768,0.0,0.5442939,0.0,0.0,0.0,0.0,0.0,0.0
8,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.028652877,0.0,0.008566658,0.0,0.08365749,0.0,0.07201751,0.0,0.21190542,0.111268155,0.0,0.09883986,0.38509202,0.0
9,1999,10,0.0,0.0,0.0,0.0,0.0,0.10620901,0.0,0.0,0.5610916,0.0,0.0,0.0,0.0,0.024287028,0.03745456,0.0,0.0,0.27095777,0.0,0.0
10,1999,10,0.0,0.30821204,0.0,0.0,0.0,0.0,0.028765818,0.20915331,0.0,0.19287498,0.0,0.0,0.0,0.2609938,0.0,0.0,0.0,0.0,0.0,0.0
11,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.23676404,0.009670537,0.0,0.0,0.26129785,0.10980368,0.0,0.0,0.13862355,0.0,0.0,0.15654187,0.0,0.08729848
12,1999,10,0.0,0.41613805,0.0,0.0,0.0,0.0,0.0,0.118960805,0.0048867585,0.0,0.0,0.12971407,0.0,0.0,0.0,0.0,0.3303003,0.0,0.0,0.0
13,1999,12,0.034582477,0.06325987,0.0,0.27055213,0.0,0.0,0.0,0.47701615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01520527,0.13938414,0.0,0.0,0.0
14,1999,12,0.0,0.76710594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2328941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1999,12,0.0,0.018809788,0.0,0.0,0.0,0.0,0.0,0.71565,0.0,0.0,0.21864627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046893902,0.0
16,1999,12,0.0,0.0,0.0,0.013474176,0.38685977,0.0,0.0,0.05557144,0.028784206,0.022591297,0.27394506,0.0,0.0,0.0,0.10957424,0.0,0.08636607,0.0,0.0,0.02283365
17,1999,12,0.0,0.0,0.0,0.0,0.0,0.0,0.09123562,0.0,0.0,0.57675326,0.23126325,0.0,0.0,0.0,0.0,0.0,0.0,0.081224136,0.019523738,0.0
18,1999,12,0.0,0.0,0.0,0.0076616174,0.0,0.0,0.03738078,0.6551188,0.0,0.0,0.2680221,0.0,0.031816676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1999,12,0.0,0.122327104,0.0,0.0,0.0,0.0,0.0,0.23209794,0.0,0.020115364,0.0,0.36356086,0.0,0.010556033,0.0,0.0,0.0,0.040097874,0.007941504,0.2033033
20,1999,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21846,0.0,0.05825018,0.55772084,0.0,0.034451596,0.0023847385,0.0,0.049814835,0.0,0.016767384,0.0,0.062150445
21,1999,12,0.0,0.0,0.0,0.12410568,0.0,0.0,0.06863412,0.09789335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872549,0.18251109,0.3381302
22,1999,12,0.0,0.23529968,0.0,0.29026097,0.0,0.0,0.20811872,0.060096454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20622417
