docID,year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,1999,10,0.0,0.0,0.10404741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775926,0.049666148,0.19968736,0.0,0.36900654,0.0,0.0,0.0,0.0,0.0
1,1999,10,0.007071731,0.46141833,0.114452794,0.0,0.0,0.22401643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19304071,0.0,0.0,0.0,0.0,0.0
2,1999,10,0.09284711,0.0,0.42436656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43325976,0.049526542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4357337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26216775,0.0,0.04748357,0.25461504,0.0
4,1999,12,0.0,0.06253238,0.551203,0.0,0.0,0.0,0.0,0.38626462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1999,12,0.04678188,0.0,0.4831334,0.0,0.0,0.0,0.0,0.26807886,0.096164584,0.0,0.08991963,0.0,0.0,0.0,0.0,0.01592167,0.0,0.0,0.0,0.0
6,1999,12,0.04876252,0.0,0.2765173,0.2617288,0.0,0.018983884,0.0,0.117948696,0.0,0.0,0.08181107,0.16610166,0.0,0.0,0.028146008,0.0,0.0,0.0,0.0,0.0
7,1999,12,0.0,0.079027966,0.077327095,0.61260587,0.0,0.2118309,0.0,0.0,0.0,0.0,0.0,0.019208137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1999,9,0.038425583,0.0,0.48523757,0.05003486,0.0,0.0,0.0,0.0,0.0,0.0,0.12686272,0.0,0.13520579,0.0,0.16423343,0.0,0.0,0.0,0.0,0.0
9,1999,11,0.12344812,0.0,0.22620447,0.06881575,0.0,0.0,0.0,0.1822659,0.0,0.0,0.13171561,0.0,0.0,0.023377875,0.0,0.24417226,0.0,0.0,0.0,0.0
10,2000,1,0.096388415,0.0,0.02150261,0.0,0.0,0.0,0.0,0.1396543,0.0,0.0,0.12408529,0.0,0.0,0.0,0.0,0.22497241,0.22984017,0.11346345,0.0,0.05009334
11,2000,6,0.58086115,0.06458154,0.19798633,0.0,0.0,0.0,0.0,0.12247795,0.0,0.0,0.034093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2000,5,0.035489287,0.0,0.28888288,0.18878889,0.0,0.0,0.0,0.0,0.0,0.0,0.46804014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018798865,0.0
13,2000,5,0.0,0.0,0.43906334,0.0,0.14410086,0.0,0.0,0.21754898,0.056161392,0.0,0.062458888,0.0,0.08066651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2000,12,0.36785388,0.0,0.0,0.0,0.081386775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016786898,0.0,0.0,0.0,0.0,0.0,0.53397244
15,2000,12,0.24694061,0.0935319,0.1886689,0.0,0.0,0.20149761,0.0,0.13954043,0.09669258,0.0,0.024040414,0.0,0.0,0.0,0.0,0.009087496,0.0,0.0,0.0,0.0
16,2000,12,0.0,0.0,0.22097102,0.0,0.0,0.0,0.0,0.32811064,0.0,0.0,0.0,0.0,0.0,0.0,0.15804231,0.076500654,0.21637541,0.0,0.0,0.0
17,2000,12,0.082982905,0.02192738,0.0,0.0,0.0,0.3094186,0.0,0.19934624,0.0,0.0,0.010651373,0.0,0.0,0.0,0.0,0.2228011,0.028281532,0.0037425691,0.108026564,0.012821804
18,2000,12,0.0,0.0,0.07714182,0.0,0.0,0.06368259,0.0,0.10165506,0.0,0.0,0.18812636,0.0,0.18709868,0.0,0.0,0.20930853,0.0,0.0,0.0,0.17298706
19,2000,12,0.0,0.0,0.031540092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09009346,0.0,0.0,0.0,0.0,0.31149533,0.019827627,0.23883286,0.0,0.3082106
20,2000,12,0.21876022,0.0,0.10853082,0.0,0.0,0.5418215,0.0,0.0,0.0,0.077096865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053790666
21,2000,10,0.1339501,0.0,0.557687,0.0,0.0,0.037486818,0.0,0.0,0.0,0.0,0.12750764,0.0,0.0,0.0,0.0,0.0,0.0,0.14336838,0.0,0.0
22,2000,10,0.064205535,0.0,0.0,0.0,0.0,0.19823661,0.0,0.0,0.0,0.13603969,0.0,0.0,0.0,0.0,0.0,0.062351294,0.19547096,0.34369582,0.0,0.0
23,2000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302231,0.0,0.0,0.0
24,2000,10,0.09034708,0.26789197,0.0,0.0,0.0,0.060583036,0.0,0.13767712,0.064388715,0.0,0.0,0.24093512,0.0,0.0,0.0,0.0,0.13817698,0.0,0.0,0.0
25,2000,10,0.06380005,0.0,0.0,0.0,0.0,0.06924681,0.0,0.5521273,0.0,0.049404893,0.0,0.0,0.0,0.079424344,0.0,0.06683512,0.0,0.11916133,0.0,0.0
