docID,year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,1999,10,0.0,0.0,0.0,0.0,0.0,0.32160887,0.0,0.19991392,0.16396442,0.13619825,0.05307843,0.0,0.0,0.0,0.08831532,0.036920816,0.0,0.0,0.0,0.0
1,1999,10,0.0,0.013916771,0.0,0.11963885,0.0,0.21897762,0.0,0.0,0.0,0.0,0.01954425,0.120042995,0.0,0.12685944,0.0,0.0,0.19009125,0.0,0.19092885,0.0
2,1999,12,0.0,0.047422074,0.014742004,0.10453131,0.11065374,0.036588095,0.0,0.0,0.04128504,0.0,0.0,0.0,0.04328721,0.0,0.0,0.0,0.60149056,0.0,0.0,0.0
3,1999,11,0.32295865,0.0,0.0,0.0,0.5115847,0.0,0.0,0.085352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080104694,0.0
4,2000,1,0.0,0.0,0.0852212,0.2718098,0.0,0.04949295,0.035063807,0.0,0.0,0.38236284,0.0,0.0,0.13173488,0.0,0.0,0.0,0.0,0.0,0.0,0.044314552
5,2000,1,0.0,0.0,0.76508254,0.0,0.0,0.007532742,0.0,0.22738473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000,6,0.0,0.0,0.0,0.0,0.0,0.0,0.02778446,0.0,0.0,0.0,0.8468596,0.0,0.017544122,0.08125118,0.0,0.0,0.0,0.0,0.026560731,0.0
7,2000,5,0.20902844,0.0,0.0,0.41880468,0.0,0.0,0.0,0.17228928,0.0,0.0,0.0,0.10637401,0.0,0.0,0.0,0.0,0.0,0.038526535,0.054976944,0.0
8,2000,12,0.0,0.0,0.0,0.0,0.20354593,0.0,0.0,0.0,0.0,0.0,0.0,0.10354382,0.0,0.0,0.0,0.0059300414,0.0,0.0,0.68698025,0.0
9,2000,10,0.06528637,0.051297866,0.0,0.0,0.0,0.0,0.17663287,0.0,0.0,0.2092706,0.0,0.39441317,0.094373085,0.0,0.0,0.0,0.0,0.008726176,0.0,0.0
10,2000,10,0.0,0.44869342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07189588,0.08134475,0.12103099,0.0,0.0,0.07380992,0.095381156,0.0,0.10784389
11,2000,10,0.0,0.0,0.0,0.0,0.0,0.65096146,0.0,0.16070467,0.0,0.052511342,0.0,0.0,0.08090021,0.0,0.0,0.0,0.0,0.0,0.0,0.054922238
12,2000,10,0.0,0.0,0.0,0.0,0.60809726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012094283,0.14219493,0.0,0.0,0.0,0.23761354,0.0
13,2000,10,0.04463282,0.0,0.0,0.43362263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378402,0.0,0.38390434,0.0,0.0
14,2000,10,0.0,0.0,0.0,0.0,0.0,0.16557372,0.0,0.0,0.102754936,0.14582181,0.0,0.0,0.0,0.0,0.0,0.18071742,0.0,0.0,0.0,0.40513217
